County,year,Active Dentists,Active Primary Care Physicians,Beds in General Hospitals,Deaths by Injury or Violence,Divorces,General Hospital Discharges,Infant Deaths,Low-Weight Births Under 2500 Grams,Marriages,Midlevel Practitioners,Nongeriatric Deaths,Nursing Facility Beds,Persons Served in Area Mental Health Programs,Pregnancies for Females 15-19,Pregnancies for Females of All Ages,Registered Nurses,Reported Abortions,Resident Deaths,Resident Live Births,"Total Active Physicians, Nonfederal, Non-resident-in-tr",Am. Indian Alaska Native Median Household Income,Am. Indian Alaska Native Per Capita Money Income (Census),Am. Indian Alaska Native Persons in Poverty,Am. Indian Alaska Native Population for Whom Poverty Is Determined,Annual Wages by Place of Work,Average Annual Employment by Place of Work,Average Annual Wage per Worker,Black Median Household Income,Black Persons for Whom Poverty Status Is Determined,Black Persons in Poverty,Black Unemployment Rate (ACS),Employed Females Age 16 Up,Employed Males Age 16 Up,Employment by Place of Residence,Estimated Median Family Income(HUD),Families in Poverty,Families in Poverty with Female Householder,Families in Poverty with Related Children,Families in Poverty/Female Householder & Children,"Families with Income $10,000-14,999","Families with Income $15,000-24,999","Families with Income $25,000-49,999","Families with Income $50,000 or More",Female Unemployment Rate (ACS),Females Age 16 Up in Labor Force,First Quarter Payroll by Place of Work,Hispanic Median Household Income,Hispanic Persons in Poverty,Hispanic Population for Whom Poverty is Determined,Labor Force by Place of Residence,Male Unemployment Rate (ACS),Males Age 16 Up in Labor Force,Manufacturing Employment by Place of Work,Manufacturing Employment for Residents Age 16 Up,Mean Family Income,Median Family Income,Median Female Income,Median Household Income_x,Median Income,Median Male Income,Nonagric. Wage & Salary Employment by Place of Work,Nonmanuf. Employment for Residents Age 16 Up,Nonmanufacturing Employment by Place of Work,Per Capita Money Income (Census),Percent  of White Persons in Poverty,Percent of Am. Indian Alaska Native Persons in Poverty,Percent of Black Persons in Poverty,Percent of Hispanic Persons in Poverty,Percent of Persons 65 Up in Poverty,Percent of Persons in Poverty,Percent of Related Children under 18 in Poverty,Percent of Related Children under 6 in Poverty,Persons 65 Up for Whom Poverty Status Is Determined,Persons 65 Up in Poverty,Persons for Whom Poverty Status Is Determined,Persons in Poverty,Related Children under 18 in Poverty,Related Children under 18-Poverty Status Determined,Related Children under 6 in Poverty,Related Children under 6-Poverty Status Determined,Unemployed Females Age 16 Up,Unemployed Males Age 16 Up,Unemployment Rate (ACS),Unemployment Rate by Place of Residence (Percent),Unemployment by Place of Residence,White Persons for Whom Poverty Status Is Determined,White Persons in Poverty,Population Age 0-4,Population Age 10-12,Population Age 13,Population Age 14,Population Age 15,Population Age 16-17,Population Age 18,Population Age 19,Population Age 20-24,Population Age 25-29,Population Age 30-34,Population Age 35-39,Population Age 40-44,Population Age 45-49,Population Age 5,Population Age 50-54,Population Age 55-59,Population Age 6-9,Population Age 60-64,Population Age 65-69,Population Age 70-74,Population Age 75-79,Population Age 80-84,Population Age 85 and Over,FIPS,Pct HS Educated,People (<High School),National Rank (HS Education),Median Household Income_y,National Rank (Income),Percent Below Poverty,People (Below Poverty),National Rank (Poverty),Percent Unemployed,People (Unemployed),National Rank (Unemployment)
Haywood County,2020,35.0,45.0,121.0,71.0,252.0,4642.0,4.0,46.0,505.0,57.0,207.0,475.0,3906.0,25.0,563.0,482.0,42.0,965.0,520.0,117.0,0.0,17969.0,30.0,326.0,669681224.0,16736.0,40014.0,0.0,534.0,202.0,0.0,13937.0,13671.0,26503.0,60400.0,1654.0,947.0,1183.0,773.0,577.0,1368.0,3585.0,11029.0,1.7000000000000002,14416.0,166906287.0,37917.0,846.0,2557.0,28663.0,2.9,14828.0,2494.0,3352.0,78412.0,66508.0,253517.0,51548.0,304821.0,374341.0,16682.0,24675.0,14188.0,30336.0,11.44,9.2,37.83,33.09,6.31,12.21,20.12,29.0,14965.0,944.0,61111.0,7459.0,2161.0,10738.0,1047.0,3610.0,464.0,720.0,3.145,7.6,2160.0,57738.0,6606.0,712.5,466.0,163.0,159.0,166.5,344.5,171.0,162.5,762.5,836.25,858.5,834.25,816.0,956.5,146.0,1039.5,1150.25,571.25,1144.75,1103.75,1073.0,804.75,561.5,524.75,37087.0,10.3,4767.0,"1,434",52063.0,"2,026",12.4,7541.0,"1,315",3.5,1011.0,732
Henderson County,2020,59.0,89.0,263.0,131.0,298.0,11882.0,8.0,82.0,622.0,162.0,290.0,912.0,2102.0,75.0,1096.0,1187.0,91.0,1536.0,1004.0,282.0,0.0,19102.0,1.0,322.0,1671313216.0,38654.0,43238.0,43013.0,3963.0,733.0,3.88,25556.0,27588.0,48836.0,72500.0,2511.0,1253.0,1703.0,1105.0,806.0,1818.0,6557.0,23351.0,1.4,26274.0,406826136.0,38250.0,2726.0,11634.0,52455.0,2.2,30042.0,4824.0,7575.0,87341.0,71966.0,268543.0,58928.0,330440.0,403040.0,37407.0,46996.0,32583.0,32306.0,9.24,0.31,18.5,23.43,6.02,10.48,16.26,19.43,29245.0,1762.0,114899.0,12038.0,3508.0,21572.0,1284.0,6609.0,700.0,1000.0,2.39,7.0,3618.0,104324.0,9640.0,1310.5,935.0,334.5,339.0,327.5,690.0,326.75,283.25,1408.5,1521.75,1469.25,1525.25,1640.75,1767.25,270.75,1823.75,1968.75,1076.0,2062.5,2084.25,2053.75,1664.75,1090.5,1149.5,37089.0,8.4,7221.0,963,59928.0,"1,184",10.4,11856.0,849,3.8,2129.0,883
Hertford County,2020,5.0,19.0,86.0,24.0,41.0,4307.0,4.0,28.0,87.0,30.0,107.0,151.0,742.0,20.0,242.0,312.0,33.0,369.0,208.0,49.0,32917.0,16314.0,113.0,272.0,365948680.0,8784.0,41661.0,36692.0,13059.0,3161.0,10.87,4667.0,4098.0,8389.0,46100.0,706.0,460.0,487.0,409.0,151.0,539.0,1601.0,2749.0,4.0,5072.0,91771494.0,47955.0,211.0,500.0,9016.0,4.2,4756.0,957.0,1445.0,65058.0,53174.0,218548.0,42588.0,247346.0,296725.0,8358.0,7538.0,7401.0,21715.0,11.54,41.54,24.21,42.2,12.03,20.47,32.89,40.32,4615.0,555.0,21523.0,4406.0,1455.0,4424.0,481.0,1193.0,405.0,412.0,6.165,7.0,627.0,7512.0,867.0,270.25,185.75,63.0,72.5,70.5,127.75,118.5,89.0,310.5,332.75,358.0,366.0,307.25,283.25,55.0,310.25,344.75,230.25,371.75,367.5,264.0,183.25,128.5,129.0,37091.0,16.2,2506.0,"2,470",43523.0,"2,708",20.8,4114.0,"2,700",8.5,781.0,"2,864"
Hoke County,2020,7.0,21.0,49.0,65.0,88.0,1606.0,8.0,80.0,494.0,33.0,191.0,132.0,2124.0,43.0,970.0,224.0,128.0,474.0,838.0,31.0,41410.0,17055.0,1180.0,4087.0,319850105.0,8417.0,38000.0,47852.0,17346.0,3506.0,5.69,10697.0,8986.0,18049.0,54800.0,1841.0,1045.0,1369.0,882.0,397.0,702.0,2793.0,7628.0,4.3,11857.0,76038944.0,50237.0,2294.0,7376.0,19759.0,4.1,12511.0,1908.0,2552.0,77026.0,62789.0,237655.0,51140.0,297099.0,394581.0,7010.0,17568.0,5102.0,23066.0,13.37,28.87,20.21,31.1,12.51,18.59,23.12,27.12,5266.0,659.0,52716.0,9800.0,3304.0,14293.0,1322.0,4874.0,904.0,814.0,5.57,8.7,1710.0,23531.0,3147.0,1095.25,696.0,232.0,222.5,218.5,405.0,197.0,205.75,895.75,632.75,606.75,1048.25,1041.0,887.0,235.5,712.75,702.5,937.5,648.0,519.0,387.0,219.75,135.25,121.0,37093.0,12.3,4130.0,"1,886",53456.0,"1,856",17.9,9060.0,"2,398",7.5,1536.0,"2,699"
Hyde County,2020,0.0,3.0,0.0,6.0,1.0,0.0,0.0,5.0,12.0,4.0,19.0,80.0,129.0,3.0,38.0,27.0,1.0,59.0,37.0,4.0,0.0,0.0,0.0,0.0,60565743.0,1676.0,36137.0,27866.0,1184.0,463.0,16.62,905.0,958.0,1614.0,58100.0,309.0,145.0,265.0,145.0,55.0,149.0,293.0,764.0,1.6,935.0,13684819.0,64107.0,4.0,640.0,1796.0,2.7,1025.0,177.0,212.0,51893.0,51471.0,230318.0,46667.0,234025.0,245157.0,1494.0,1659.0,1317.0,17942.0,15.7,0.0,39.1,0.63,7.26,21.64,26.34,25.67,936.0,68.0,4560.0,987.0,285.0,1082.0,106.0,413.0,30.0,59.0,3.345,10.2,183.0,3044.0,478.0,46.5,35.0,13.0,10.75,11.5,20.0,9.25,12.0,53.25,67.5,57.5,84.5,86.75,86.75,10.25,75.75,73.75,48.25,83.0,92.25,61.25,38.75,29.75,34.0,37095.0,21.3,770.0,"2,921",48577.0,"2,328",24.2,1023.0,"2,924",6.8,118.0,"2,513"
Iredell County,2020,86.0,129.0,424.0,137.0,510.0,16199.0,11.0,164.0,1.0,256.0,498.0,653.0,6547.0,103.0,2173.0,1599.0,274.0,1886.0,1898.0,359.0,0.0,18767.0,137.0,539.0,4095239817.0,74527.0,54950.0,42445.0,21327.0,4267.0,7.4,40259.0,45678.0,82336.0,73100.0,3965.0,2219.0,2769.0,1902.0,921.0,2840.0,9922.0,34434.0,2.6,42190.0,978239790.0,47055.0,2639.0,13658.0,88854.0,3.6,49806.0,11389.0,16093.0,102334.0,73346.0,261063.0,62551.0,342914.0,452034.0,66988.0,71421.0,55599.0,35261.0,8.12,25.42,20.01,19.32,6.6,9.8,13.58,18.0,27989.0,1846.0,177084.0,17360.0,5451.0,40136.0,2022.0,11233.0,1914.0,2477.0,3.91,7.4,6519.0,141811.0,11519.0,2357.25,1666.0,610.75,664.75,661.25,1360.75,680.5,653.5,2920.75,2861.25,2797.75,2929.0,2912.25,3446.0,468.75,3596.75,3585.75,1880.0,3113.25,2525.0,2152.75,1465.75,922.0,691.75,37097.0,8.9,11346.0,"1,113",66824.0,679,9.8,17801.0,708,4.8,4597.0,"1,536"
Jackson County,2020,13.0,29.0,86.0,53.0,99.0,3674.0,2.0,19.0,246.0,57.0,138.0,200.0,1896.0,26.0,351.0,324.0,34.0,457.0,315.0,92.0,43833.0,24987.0,464.0,3208.0,574535768.0,13540.0,42432.0,36920.0,523.0,259.0,2.51,9303.0,9383.0,18286.0,60700.0,1160.0,544.0,648.0,427.0,343.0,551.0,2544.0,5942.0,3.6,9998.0,132843676.0,33681.0,944.0,2474.0,19785.0,2.7,10353.0,352.0,854.0,77469.0,63715.0,221012.0,46820.0,246719.0,285747.0,13473.0,18295.0,13121.0,25738.0,15.33,14.46,49.52,38.16,9.91,18.04,23.53,26.8,8500.0,842.0,39470.0,7120.0,1622.0,6894.0,528.0,1970.0,695.0,485.0,4.445,7.6,1499.0,32678.0,5008.0,463.0,305.25,104.5,114.5,106.0,206.75,271.5,373.75,1390.0,618.0,563.5,666.75,538.75,548.25,99.25,562.25,595.0,390.0,645.75,621.75,623.25,440.0,264.5,265.0,37099.0,10.8,3001.0,"1,588",47989.0,"2,366",19.2,7551.0,"2,570",6.8,1368.0,"2,499"
Johnston County,2020,49.0,79.0,179.0,188.0,518.0,12045.0,13.0,194.0,1.0,168.0,562.0,615.0,7942.0,147.0,2914.0,980.0,411.0,1823.0,2487.0,180.0,101310.0,40039.0,66.0,949.0,2257782786.0,50968.0,44298.0,50224.0,31976.0,5480.0,6.15,46316.0,49397.0,92056.0,94100.0,4510.0,2348.0,3718.0,2044.0,1063.0,3357.0,10495.0,35403.0,2.5,48374.0,571571692.0,40800.0,8400.0,27855.0,98297.0,3.0,54029.0,7495.0,10982.0,91284.0,74922.0,287705.0,61806.0,339163.0,407528.0,50718.0,86856.0,43223.0,29327.0,9.52,6.95,17.14,30.16,7.63,12.23,18.4,20.55,26574.0,2027.0,200982.0,24572.0,9302.0,50546.0,3111.0,15139.0,2044.0,2309.0,3.505,6.4,6241.0,151143.0,14396.0,2996.25,2319.0,844.0,849.75,857.0,1736.5,847.25,723.0,3176.25,3101.5,3515.5,3811.5,3951.75,4157.25,602.5,4016.25,3716.75,2557.5,3147.25,2639.5,2117.0,1349.0,804.0,594.5,37101.0,11.3,15900.0,"1,685",66026.0,722,12.5,26252.0,"1,364",4.3,4550.0,"1,159"
Jones County,2020,2.0,7.0,0.0,8.0,872.0,0.0,0.0,6.0,91.0,2.0,35.0,80.0,455.0,6.0,108.0,51.0,18.0,166.0,90.0,13.0,13125.0,13528.0,27.0,89.0,58661575.0,1564.0,37507.0,28271.0,2769.0,874.0,22.39,1833.0,1825.0,3957.0,50100.0,469.0,207.0,308.0,157.0,166.0,354.0,547.0,1490.0,4.4,2025.0,13780606.0,30227.0,140.0,480.0,4199.0,4.2,2030.0,27.0,481.0,64262.0,55256.0,213785.0,38324.0,255222.0,351934.0,1315.0,3221.0,1288.0,22917.0,19.84,30.34,31.56,29.17,10.88,23.45,29.57,37.2,2179.0,237.0,9384.0,2201.0,514.0,1738.0,215.0,578.0,184.0,156.0,6.285,5.8,242.0,6034.0,1197.0,113.75,82.25,28.5,29.25,25.5,45.5,18.5,19.5,108.5,137.25,177.5,159.75,105.5,108.5,24.25,126.75,167.5,97.75,176.25,170.5,137.5,87.25,63.5,67.5,37103.0,16.6,1149.0,"2,512",42401.0,"2,779",20.8,1929.0,"2,708",6.4,259.0,"2,371"
Lee County,2020,33.0,42.0,127.0,73.0,214.0,3977.0,8.0,76.0,460.0,41.0,229.0,294.0,2947.0,54.0,921.0,341.0,125.0,748.0,790.0,100.0,0.0,12165.0,285.0,412.0,1086679428.0,24712.0,43974.0,42700.0,11610.0,3107.0,6.71,12907.0,13792.0,23894.0,62100.0,1958.0,876.0,1483.0,725.0,415.0,1411.0,3678.0,9271.0,4.1,13942.0,275170086.0,41967.0,2655.0,11531.0,25965.0,2.6,15369.0,7448.0,6019.0,76237.0,59013.0,242011.0,52294.0,289751.0,350977.0,24715.0,21336.0,17267.0,25502.0,12.71,69.17,26.76,23.02,10.49,16.35,23.89,22.61,9683.0,1016.0,59749.0,9766.0,3392.0,14201.0,981.0,4339.0,1035.0,595.0,4.44,8.0,2071.0,43396.0,5514.0,967.5,655.0,238.25,230.0,218.5,442.5,216.75,202.5,1004.75,1008.75,981.5,1012.0,997.25,992.25,188.0,980.25,1016.75,804.75,959.25,869.75,720.25,513.0,315.0,359.5,37105.0,14.4,6115.0,"2,237",57674.0,"1,409",15.1,9290.0,"1,935",5.2,1558.0,"1,772"
Lenoir County,2020,24.0,37.0,182.0,60.0,164.0,5459.0,7.0,86.0,181.0,38.0,261.0,407.0,4457.0,65.0,807.0,562.0,133.0,897.0,665.0,108.0,0.0,25425.0,46.0,107.0,1171564943.0,27759.0,42205.0,33090.0,21423.0,6169.0,13.86,11245.0,11890.0,25892.0,51300.0,2231.0,1490.0,1816.0,1355.0,651.0,1076.0,3961.0,7533.0,5.4,12560.0,286315303.0,39841.0,1593.0,4393.0,27600.0,4.9,13424.0,7851.0,4124.0,71117.0,53964.0,226677.0,39923.0,261932.0,295383.0,27338.0,19385.0,19487.0,24894.0,14.96,42.99,28.8,36.26,15.97,21.97,34.64,35.16,10889.0,1739.0,55145.0,12113.0,4211.0,12155.0,1423.0,4047.0,1264.0,1043.0,6.875,6.2,1708.0,29232.0,4374.0,773.0,511.75,186.25,199.75,196.75,357.75,173.75,177.0,830.75,844.0,748.0,751.75,709.5,784.75,154.75,825.75,1006.0,621.5,1037.0,923.25,767.75,501.75,339.5,339.5,37107.0,19.0,7303.0,"2,756",41092.0,"2,850",23.3,12650.0,"2,884",9.3,2320.0,"2,951"
Lincoln County,2020,30.0,37.0,101.0,63.0,241.0,5019.0,4.0,66.0,609.0,80.0,253.0,300.0,2985.0,57.0,958.0,518.0,83.0,1016.0,873.0,89.0,0.0,22528.0,0.0,143.0,1074579024.0,24053.0,44675.0,37740.0,4029.0,1161.0,13.8,18791.0,21045.0,40410.0,65500.0,2167.0,867.0,1371.0,767.0,789.0,1283.0,4964.0,16161.0,3.0,19842.0,277907385.0,51995.0,899.0,6075.0,43262.0,3.5,22951.0,4677.0,6908.0,94895.0,72078.0,273394.0,59592.0,338855.0,405768.0,23922.0,33631.0,19245.0,33197.0,11.12,0.0,28.82,14.8,10.6,12.21,14.95,16.52,14726.0,1561.0,83691.0,10216.0,2609.0,17457.0,831.0,5030.0,1051.0,1182.0,4.165,6.7,2852.0,74354.0,8267.0,1043.5,761.5,282.0,277.75,285.75,596.0,274.5,270.5,1243.0,1259.75,1188.75,1260.25,1341.75,1608.0,206.0,1719.0,1741.25,832.25,1590.25,1340.0,1148.25,754.25,437.75,326.75,37109.0,11.1,6855.0,"1,645",65399.0,755,10.7,9082.0,919,4.5,1948.0,"1,305"
Macon County,2020,14.0,26.0,83.0,44.0,117.0,1573.0,2.0,33.0,256.0,23.0,87.0,280.0,901.0,17.0,348.0,213.0,27.0,536.0,321.0,70.0,60500.0,11835.0,24.0,224.0,422758234.0,10979.0,38506.0,25888.0,508.0,173.0,8.3,6514.0,7360.0,14416.0,54300.0,1070.0,454.0,714.0,400.0,310.0,707.0,2270.0,6242.0,3.3,7024.0,104636818.0,33500.0,856.0,2481.0,15449.0,1.5,7970.0,391.0,639.0,79178.0,60288.0,230835.0,45703.0,283580.0,344487.0,9965.0,13617.0,9574.0,29549.0,15.33,10.71,34.06,34.5,9.89,16.01,22.94,23.32,9972.0,986.0,34886.0,5585.0,1401.0,6106.0,416.0,1784.0,510.0,212.0,3.5599999999999996,6.8,1033.0,32540.0,4990.0,410.0,281.75,105.25,99.25,97.5,219.75,104.25,109.75,492.5,485.75,489.5,471.0,419.0,473.75,86.5,520.75,626.25,335.0,692.75,738.25,711.75,559.75,368.5,377.0,37113.0,11.2,3066.0,"1,659",48169.0,"2,357",16.3,5925.0,"2,153",4.2,669.0,"1,125"
Madison County,2020,3.0,15.0,0.0,34.0,44.0,0.0,1.0,18.0,191.0,12.0,73.0,180.0,963.0,13.0,196.0,79.0,17.0,282.0,177.0,18.0,0.0,22769.0,18.0,57.0,145341218.0,3808.0,38167.0,78333.0,101.0,36.0,0.0,4576.0,4838.0,8926.0,72500.0,392.0,173.0,340.0,169.0,145.0,361.0,1252.0,3466.0,1.8,4740.0,34552218.0,66071.0,19.0,490.0,9587.0,1.9,5178.0,401.0,641.0,83622.0,69681.0,265221.0,46190.0,294602.0,336611.0,2955.0,8933.0,2554.0,27184.0,14.18,31.58,35.64,3.88,9.96,14.29,13.23,11.67,4648.0,463.0,20593.0,2942.0,493.0,3726.0,146.0,1251.0,164.0,172.0,2.565,7.0,661.0,19773.0,2803.0,245.0,139.0,52.0,51.25,51.5,129.0,98.5,124.5,363.5,267.0,279.75,259.75,295.5,324.25,53.0,344.75,370.5,187.75,389.5,394.5,341.0,244.0,151.5,136.25,37115.0,10.4,1605.0,"1,480",51396.0,"2,092",13.8,2811.0,"1,661",2.7,264.0,385
Martin County,2020,6.0,8.0,49.0,25.0,36.0,896.0,4.0,30.0,107.0,8.0,93.0,154.0,2086.0,14.0,261.0,129.0,32.0,401.0,229.0,13.0,0.0,20733.0,26.0,67.0,213561348.0,6251.0,34164.0,34956.0,9311.0,2153.0,15.01,4885.0,4448.0,8267.0,46500.0,1066.0,563.0,846.0,453.0,238.0,691.0,1630.0,3169.0,6.8,5569.0,51584073.0,23608.0,686.0,942.0,8884.0,4.2,5000.0,713.0,1341.0,65907.0,50769.0,229174.0,39909.0,276980.0,307835.0,5455.0,8169.0,4742.0,24108.0,15.83,38.81,23.12,72.82,13.3,20.44,32.02,36.17,5097.0,678.0,22288.0,4556.0,1392.0,4347.0,485.0,1341.0,684.0,357.0,7.645,7.0,617.0,11988.0,1898.0,290.0,186.75,67.75,70.0,66.0,130.5,57.75,54.0,281.5,288.5,270.0,277.25,263.25,308.25,61.5,357.0,404.75,228.0,466.5,429.5,369.75,243.5,162.0,149.25,37117.0,17.5,2814.0,"2,592",41798.0,"2,815",19.8,4326.0,"2,620",10.4,1070.0,"3,026"
McDowell County,2020,9.0,22.0,65.0,43.0,144.0,2269.0,0.0,37.0,233.0,42.0,149.0,250.0,2015.0,25.0,408.0,264.0,29.0,633.0,379.0,38.0,0.0,25430.0,17.0,64.0,609127892.0,15351.0,39680.0,34750.0,1296.0,606.0,10.24,9256.0,9642.0,19123.0,49100.0,1399.0,506.0,933.0,433.0,288.0,1064.0,4011.0,7468.0,2.7,9764.0,154219830.0,41229.0,751.0,2748.0,20555.0,3.5,10619.0,5687.0,5195.0,69440.0,54824.0,246499.0,47085.0,285109.0,320694.0,15315.0,14031.0,9628.0,25432.0,13.43,26.56,46.76,27.33,9.46,15.56,22.17,27.35,9127.0,863.0,44256.0,6887.0,1938.0,8740.0,677.0,2475.0,508.0,649.0,4.345,7.0,1432.0,40484.0,5438.0,544.25,377.75,139.25,136.25,130.0,260.25,135.75,119.25,666.5,669.5,638.75,637.25,662.75,749.0,116.5,771.25,763.25,456.5,778.75,714.75,621.25,443.25,301.0,294.75,37111.0,14.6,4756.0,"2,263",50615.0,"2,171",13.8,6011.0,"1,664",6.3,1284.0,"2,337"
Mecklenburg County,2020,845.0,1112.0,2236.0,751.0,2.0,142888.0,75.0,1388.0,2.0,2128.0,2305.0,3438.0,10971.0,915.0,19326.0,12985.0,4569.0,7647.0,14655.0,3838.0,38525.0,22464.0,870.0,3704.0,51179808430.0,692033.0,73956.0,51689.0,340280.0,47419.0,6.5600000000000005,282870.0,292263.0,569616.0,83500.0,19972.0,11959.0,16004.0,10563.0,4861.0,12014.0,45619.0,186296.0,3.1,297025.0,15053989113.0,50672.0,29629.0,144747.0,617543.0,3.7,316790.0,33043.0,46135.0,123073.0,85793.0,341737.0,69240.0,400873.0,475893.0,690823.0,537951.0,657780.0,40627.0,7.26,23.49,13.94,20.47,7.5,10.9,15.99,16.25,120608.0,9046.0,1078174.0,117474.0,40474.0,253093.0,13937.0,85772.0,13936.0,15055.0,4.045,7.8,47927.0,559916.0,40657.0,18406.0,10889.25,3676.5,3671.0,3355.25,6642.25,3309.75,3360.25,16569.75,20269.25,23314.5,24617.5,21103.5,19632.5,3707.75,18118.25,16733.25,14301.5,14651.0,11621.0,9149.75,5717.0,3357.25,3371.5,37119.0,9.2,68244.0,"1,172",73124.0,406,10.6,114598.0,888,4.6,28741.0,"1,402"
Mitchell County,2020,6.0,11.0,46.0,21.0,28.0,1103.0,1.0,19.0,67.0,25.0,61.0,127.0,363.0,8.0,149.0,177.0,3.0,251.0,146.0,26.0,0.0,23642.0,29.0,77.0,180339482.0,4442.0,40599.0,0.0,5.0,5.0,100.0,2908.0,3441.0,5427.0,56400.0,303.0,90.0,179.0,74.0,97.0,224.0,1086.0,2570.0,3.3,3119.0,45966813.0,45227.0,262.0,848.0,5886.0,1.6,3720.0,0.0,937.0,78084.0,61051.0,252780.0,48841.0,296428.0,356499.0,3666.0,5585.0,3666.0,26975.0,11.67,37.66,100.0,30.9,9.78,12.35,13.8,17.27,3659.0,358.0,14570.0,1800.0,366.0,2652.0,134.0,776.0,211.0,99.0,3.465,7.9,459.0,13982.0,1632.0,178.0,117.25,41.0,38.75,38.0,78.0,44.25,41.25,212.0,250.0,235.5,208.5,194.0,204.0,37.75,244.75,250.0,147.25,264.75,255.5,215.0,189.75,128.25,112.0,37121.0,11.7,1301.0,"1,765",48320.0,"2,349",13.0,1889.0,"1,450",6.4,437.0,"2,370"
Montgomery County,2020,3.0,9.0,37.0,34.0,58.0,111.0,3.0,25.0,114.0,27.0,111.0,141.0,1643.0,24.0,308.0,109.0,37.0,370.0,270.0,15.0,0.0,6394.0,40.0,87.0,365090857.0,8883.0,41100.0,32000.0,4346.0,1178.0,7.88,5220.0,5305.0,10573.0,53900.0,769.0,414.0,507.0,350.0,225.0,696.0,1986.0,3912.0,2.4,5517.0,87842581.0,42153.0,704.0,4080.0,11328.0,1.1,5563.0,2868.0,2965.0,71953.0,55331.0,203863.0,45147.0,250734.0,300377.0,7582.0,7668.0,4714.0,23863.0,13.34,45.98,27.11,17.25,9.8,16.85,23.22,20.1,5438.0,533.0,26129.0,4403.0,1334.0,5745.0,327.0,1627.0,270.0,116.0,2.545,6.7,755.0,19919.0,2657.0,348.0,239.5,89.5,87.75,84.0,179.75,92.5,100.5,437.75,420.75,328.25,332.0,325.5,351.5,76.5,386.0,415.75,306.25,439.25,408.5,384.5,268.25,163.0,167.25,37123.0,17.7,3200.0,"2,615",50618.0,"2,169",15.6,3877.0,"2,022",3.4,365.0,648
Moore County,2020,90.0,81.0,337.0,99.0,242.0,23129.0,5.0,106.0,523.0,277.0,264.0,730.0,4108.0,60.0,1373.0,1500.0,158.0,1326.0,1207.0,398.0,49615.0,17359.0,93.0,750.0,1555642532.0,34557.0,45017.0,40569.0,10686.0,2747.0,6.94,20588.0,20226.0,37796.0,88200.0,1594.0,870.0,1074.0,745.0,529.0,1217.0,4791.0,19323.0,2.3,21928.0,378678959.0,38059.0,1660.0,6769.0,40734.0,2.7,24309.0,1703.0,3503.0,103648.0,82797.0,273944.0,63324.0,354387.0,459679.0,34327.0,37794.0,32624.0,36184.0,8.19,12.4,25.71,24.52,6.64,10.52,14.78,15.5,23028.0,1530.0,97546.0,10260.0,3014.0,20398.0,1071.0,6908.0,980.0,1018.0,3.39,7.3,2938.0,79319.0,6498.0,1418.25,833.0,299.75,298.5,303.75,616.0,294.25,280.75,1220.0,1252.75,1265.75,1325.5,1316.75,1441.0,261.75,1463.0,1633.25,1026.75,1715.25,1738.25,1711.0,1344.5,878.0,1093.75,37125.0,7.7,5464.0,798,67440.0,649,9.7,9398.0,681,4.3,1845.0,"1,204"
Nash County,2020,44.0,55.0,262.0,105.0,226.0,12272.0,11.0,134.0,467.0,90.0,340.0,427.0,1371.0,95.0,1327.0,968.0,287.0,1246.0,1029.0,180.0,50045.0,13922.0,91.0,499.0,1671268908.0,38294.0,43643.0,44731.0,37081.0,7845.0,7.92,21048.0,20608.0,38590.0,57700.0,2996.0,1740.0,2287.0,1526.0,947.0,1715.0,6227.0,15164.0,3.0,22285.0,428011580.0,43485.0,1847.0,6525.0,42129.0,5.7,23116.0,7373.0,6780.0,79336.0,61229.0,245784.0,49949.0,287947.0,351263.0,37049.0,35307.0,29676.0,27286.0,10.48,18.24,21.16,28.31,11.74,15.76,22.01,28.02,16789.0,1971.0,92179.0,14531.0,4446.0,20196.0,1676.0,5981.0,1219.0,2064.0,5.71,8.4,3539.0,47728.0,5003.0,1314.0,807.5,284.75,294.5,305.0,596.25,319.75,286.5,1431.5,1481.5,1466.75,1328.5,1327.5,1522.0,254.5,1599.75,1790.75,1029.25,1673.25,1538.75,1313.0,816.25,497.0,478.25,37127.0,12.6,8265.0,"1,944",52837.0,"1,934",14.7,13630.0,"1,841",7.0,3236.0,"2,587"
New Hanover County,2020,196.0,207.0,678.0,231.0,537.0,40447.0,12.0,187.0,1.0,596.0,595.0,1041.0,5840.0,111.0,2676.0,3655.0,582.0,2339.0,2091.0,852.0,0.0,24695.0,67.0,432.0,5839282405.0,112725.0,51801.0,40931.0,29618.0,9672.0,5.5600000000000005,57343.0,55468.0,112078.0,81000.0,4547.0,2727.0,3245.0,2262.0,966.0,3037.0,10102.0,37808.0,2.8,60212.0,1422487681.0,43658.0,2860.0,12726.0,120839.0,3.8,61241.0,4722.0,7074.0,109826.0,79830.0,278234.0,56689.0,341594.0,416658.0,112595.0,107559.0,107873.0,36324.0,11.41,15.51,32.66,22.47,8.42,14.63,17.81,17.43,40291.0,3394.0,224287.0,32805.0,7440.0,41774.0,2291.0,13147.0,2857.0,3413.0,4.15,7.3,8761.0,181222.0,20686.0,2732.5,1774.25,610.25,617.25,604.5,1204.75,882.75,1035.25,4966.25,3861.25,3731.5,4097.75,3630.5,3493.5,569.5,3377.25,3392.25,2231.5,3341.5,3194.0,2763.5,1947.75,1154.75,1218.25,37129.0,6.2,9653.0,398,62362.0,991,13.6,29750.0,"1,619",5.0,5953.0,"1,629"
